Num,File,Subset,Fruit,Color,Count,DateTime,GPSAltitude,GPSLatitude,GPSLongitude>,GPSImgDirection,GPSDestBearing,ShutterSpeedValue,SubsecTimeDigitized,ExposureTime,BrightnessValue
302,IMG_3060.png,APPLE_LEMON,APPLE_LEMON,COLOR-NA,NUM-NA,2019-07-17 09:22:50,335,37;53.7948N,122;15.5571W,429061/1555,429061/1555,260036/48857,992,1/40,267210/55901
303,IMG_3479.png,BANANA_COUNT,BANANA,COLOR-NA,0_ZERO,2019-07-19 17:25:57,333,37;53.7937N,122;15.5521W,652912/2437,771331/2879,189065/20679,820,1/565,88537/9852
304,IMG_3422.png,BANANA_COUNT,BANANA,COLOR-NA,0_ZERO,2019-07-19 17:18:52,335,37;53.7932N,122;15.5502W,348935/2048,348935/2048,70935/8026,428,1/458,75836/9377
305,IMG_3435.png,BANANA_COUNT,BANANA,COLOR-NA,0_ZERO,2019-07-19 17:19:44,331,37;53.7923N,122;15.5511W,308613/1235,308613/1235,176747/19593,535,1/519,68030/8087
306,IMG_3346.png,BANANA_COUNT,BANANA,COLOR-NA,0_ZERO,2019-07-19 17:07:06,329,37;53.7973N,122;15.5571W,369124/4043,369124/4043,260036/48857,651,1/40,43103/8537
307,IMG_3418.png,BANANA_COUNT,BANANA,COLOR-NA,0_ZERO,2019-07-19 17:18:33,335,37;53.7978N,122;15.558W,452177/2386,452177/2386,194444/28147,258,1/120,531196/84237
308,IMG_3431.png,BANANA_COUNT,BANANA,COLOR-NA,0_ZERO,2019-07-19 17:19:33,332,37;53.7932N,122;15.5493W,1641/8,1641/8,78789/9311,085,1/353,77108/10015
309,IMG_3355.png,BANANA_COUNT,BANANA,COLOR-NA,0_ZERO,2019-07-19 17:08:20,330,37;53.7933N,122;15.5566W,288436/1695,288436/1695,260036/48857,205,1/40,98911/19676
310,IMG_3417.png,BANANA_COUNT,BANANA,COLOR-NA,0_ZERO,2019-07-19 17:18:26,333,37;53.7982N,122;15.5571W,125583/1247,125583/1247,49625/8401,425,1/60,108477/20879
311,IMG_3371.png,BANANA_COUNT,BANANA,COLOR-NA,0_ZERO,2019-07-19 17:11:16,333,37;53.7957N,122;15.5548W,290210/5551,202849/3880,260036/48857,145,1/40,116597/24314
312,IMG_3514.png,BANANA_COUNT,BANANA,COLOR-NA,0_ZERO,2019-07-19 17:35:53,274,37;53.8003N,122;15.5695W,905445/3937,807932/3513,260036/48857,406,1/40,114071/21817
313,IMG_3477.png,BANANA_COUNT,BANANA,COLOR-NA,0_ZERO,2019-07-19 17:25:41,333,37;53.7955N,122;15.5493W,1339227/4541,1339227/4541,55655/6129,986,1/541,173063/19392
314,IMG_3463.png,BANANA_COUNT,BANANA,COLOR-NA,0_ZERO,2019-07-19 17:24:10,334,37;53.797N,122;15.5534W,25095/128,25095/128,260036/48857,691,1/40,77299/15163
315,IMG_3512.png,BANANA_COUNT,BANANA,COLOR-NA,0_ZERO,2019-07-19 17:32:04,332,37;53.7932N,122;15.558W,228609/2857,228609/2857,194444/28147,102,1/120,72767/11314
316,IMG_3469.png,BANANA_COUNT,BANANA,COLOR-NA,4_FOUR,2019-07-19 17:24:40,333,37;53.7938N,122;15.5511W,199475/608,199475/608,14133/1832,034,1/210,38188/5425
317,IMG_3522.png,BANANA_COUNT,BANANA,COLOR-NA,4_FOUR,2019-07-19 17:40:05,337,37;53.7997N,122;15.5443W,529855/2048,529855/2048,260036/48857,322,1/40,68495/13292
318,IMG_3386.png,BANANA_COUNT,BANANA,COLOR-NA,4_FOUR,2019-07-19 17:12:29,332,37;53.792N,122;15.5539W,335634/1145,335634/1145,49625/8401,721,1/60,8557/1738
319,IMG_3384.png,BANANA_COUNT,BANANA,COLOR-NA,4_FOUR,2019-07-19 17:12:00,335,37;53.7957N,122;15.5544W,67553/9633,67553/9633,183226/24187,549,1/191,154285/21978
320,IMG_3385.png,BANANA_COUNT,BANANA,COLOR-NA,4_FOUR,2019-07-19 17:12:14,333,37;53.7915N,122;15.5525W,88510/779,88510/779,84572/17235,114,1/30,19485/4484
321,IMG_3578.png,BANANA_COUNT,BANANA,COLOR-NA,4_FOUR,2019-07-19 17:47:28,336,37;53.8N,122;15.5466W,59677/5415,59677/5415,260036/48857,823,1/40,78519/16115
322,IMG_3359.png,BANANA_COUNT,BANANA,COLOR-NA,4_FOUR,2019-07-19 17:09:10,334,37;53.7973N,122;15.5553W,290987/1708,290987/1708,194444/28147,351,1/120,79087/13845
323,IMG_3372.png,BANANA_COUNT,BANANA,COLOR-NA,4_FOUR,2019-07-19 17:11:24,334,37;53.7957N,122;15.5544W,282093/1391,282093/1391,49625/8401,474,1/60,52835/10764
324,IMG_3411.png,BANANA_COUNT,BANANA,COLOR-NA,4_FOUR,2019-07-19 17:17:37,331,37;53.796N,122;15.5553W,649721/2337,649721/2337,93631/10205,189,1/578,79216/9271
325,IMG_3360.png,BANANA_COUNT,BANANA,COLOR-NA,4_FOUR,2019-07-19 17:09:24,334,37;53.797N,122;15.5557W,258130/2139,258130/2139,49625/8401,180,1/60,39076/7263
326,IMG_3412.png,BANANA_COUNT,BANANA,COLOR-NA,4_FOUR,2019-07-19 17:17:47,332,37;53.7963N,122;15.5566W,93083/1889,93083/1889,194444/28147,030,1/120,97783/14916
327,IMG_3481.png,BANANA_COUNT,BANANA,COLOR-NA,2_TWO,2019-07-19 17:26:25,332,37;53.7948N,122;15.5562W,543998/1609,543998/1609,260036/48857,933,1/40,59114/12275
328,IMG_3480.png,BANANA_COUNT,BANANA,COLOR-NA,2_TWO,2019-07-19 17:26:12,333,37;53.795N,122;15.5553W,218208/3355,218208/3355,171839/18110,682,1/718,72527/7971
329,IMG_3457.png,BANANA_COUNT,BANANA,COLOR-NA,2_TWO,2019-07-19 17:23:02,334,37;53.7993N,122;15.5548W,83323/8808,83323/8808,260036/48857,152,1/40,69624/15019
330,IMG_3484.png,BANANA_COUNT,BANANA,COLOR-NA,2_TWO,2019-07-19 17:26:49,333,37;53.7932N,122;15.553W,191163/587,191163/587,49625/8401,425,1/60,94019/19053
331,IMG_3446.png,BANANA_COUNT,BANANA,COLOR-NA,2_TWO,2019-07-19 17:20:59,335,37;53.7932N,122;15.5534W,505595/3788,505595/3788,194444/28147,681,1/120,63940/11781
332,IMG_3518.png,BANANA_COUNT,BANANA,COLOR-NA,2_TWO,2019-07-19 17:38:18,334,37;53.7992N,122;15.5447W,574279/1967,526982/1805,84572/17235,081,1/30,185596/45445
333,IMG_3345.png,BANANA_COUNT,BANANA,COLOR-NA,2_TWO,2019-07-19 17:07:04,329,37;53.7973N,122;15.5571W,254807/2929,254807/2929,194444/28147,624,1/120,118660/21019
334,IMG_3423.png,BANANA_COUNT,BANANA,COLOR-NA,2_TWO,2019-07-19 17:19:01,335,37;53.793N,122;15.5511W,577201/3129,577201/3129,68715/9767,314,1/131,91878/14003
335,IMG_3347.png,BANANA_COUNT,BANANA,COLOR-NA,2_TWO,2019-07-19 17:07:12,329,37;53.7973N,122;15.5571W,136258/1199,136258/1199,49625/8401,433,1/60,94549/16636
336,IMG_3623.png,BANANA_COUNT,BANANA,COLOR-NA,2_TWO,2019-07-19 17:53:52,335,37;53.7955N,122;15.5457W,1966990/16317,1966990/16317,84572/17235,128,1/30,64557/15053
337,IMG_3356.png,BANANA_COUNT,BANANA,COLOR-NA,2_TWO,2019-07-19 17:08:26,331,37;53.7943N,122;15.5576W,581527/2851,581527/2851,49625/8401,773,1/60,30536/5971
338,IMG_3632.png,BANANA_COUNT,BANANA,COLOR-NA,2_TWO,2019-07-19 17:55:05,335,37;53.7985N,122;15.5452W,268839/1831,268839/1831,260036/48857,313,1/40,37655/6952
339,IMG_3626.png,BANANA_COUNT,BANANA,COLOR-NA,2_TWO,2019-07-19 17:54:14,333,37;53.7967N,122;15.5457W,1025419/7086,1025419/7086,84572/17235,667,1/30,92079/19525
340,IMG_3627.png,BANANA_COUNT,BANANA,COLOR-NA,2_TWO,2019-07-19 17:54:25,334,37;53.7985N,122;15.5457W,438369/3131,453490/3239,84572/17235,180,1/30,8359/1789
341,IMG_3633.png,BANANA_COUNT,BANANA,COLOR-NA,2_TWO,2019-07-19 17:55:13,335,37;53.7985N,122;15.5452W,213699/1505,213699/1505,49625/8401,480,1/60,121836/21553
342,IMG_3425.png,BANANA_COUNT,BANANA,COLOR-NA,2_TWO,2019-07-19 17:19:07,335,37;53.793N,122;15.5479W,413815/1741,413815/1741,20062/2685,845,1/178,203781/27916
343,IMG_3625.png,BANANA_COUNT,BANANA,COLOR-NA,2_TWO,2019-07-19 17:54:07,333,37;53.7973N,122;15.547W,303013/2189,303013/2189,84572/17235,155,1/30,134961/28148
344,IMG_3631.png,BANANA_COUNT,BANANA,COLOR-NA,2_TWO,2019-07-19 17:54:58,335,37;53.7988N,122;15.5479W,475765/2828,405948/2413,84572/17235,096,1/30,58886/11509
345,IMG_3619.png,BANANA_COUNT,BANANA,COLOR-NA,2_TWO,2019-07-19 17:53:27,337,37;53.7957N,122;15.5457W,202427/1569,202427/1569,84572/17235,544,1/30,47065/10788
346,IMG_3630.png,BANANA_COUNT,BANANA,COLOR-NA,2_TWO,2019-07-19 17:54:53,334,37;53.7988N,122;15.5475W,558625/3884,558625/3884,260036/48857,200,1/40,63353/11971
347,IMG_3624.png,BANANA_COUNT,BANANA,COLOR-NA,2_TWO,2019-07-19 17:53:59,334,37;53.7967N,122;15.5452W,152093/1032,152093/1032,84572/17235,845,1/30,47091/10139
348,IMG_3588.png,BANANA_COUNT,BANANA,COLOR-NA,2_TWO,2019-07-19 17:48:37,335,37;53.7985N,122;15.5498W,68044/713,68044/713,260036/48857,369,1/40,103289/19926
349,IMG_3629.png,BANANA_COUNT,BANANA,COLOR-NA,2_TWO,2019-07-19 17:54:45,335,37;53.7982N,122;15.5493W,421519/2934,421519/2934,260036/48857,594,1/40,93110/18219
350,IMG_3628.png,BANANA_COUNT,BANANA,COLOR-NA,2_TWO,2019-07-19 17:54:35,334,37;53.7975N,122;15.5479W,526299/3218,526299/3218,260036/48857,302,1/40,136961/26457
351,IMG_3571.png,BANANA_COUNT,BANANA,COLOR-NA,2_TWO,2019-07-19 17:46:45,339,37;53.8033N,122;15.5457W,1148159/3213,1034165/2894,84572/17235,716,1/30,55949/11867
352,IMG_3438.png,BANANA_COUNT,BANANA,COLOR-NA,2_TWO,2019-07-19 17:19:57,331,37;53.796N,122;15.5571W,530551/1875,530551/1875,49625/8401,353,1/60,25987/5576
353,IMG_3599.png,BANANA_COUNT,BANANA,COLOR-NA,2_TWO,2019-07-19 17:50:16,338,37;53.7963N,122;15.547W,184233/2441,184233/2441,260036/48857,825,1/40,31148/6007
354,IMG_3475.png,BANANA_COUNT,BANANA,COLOR-NA,2_TWO,2019-07-19 17:25:28,332,37;53.8003N,122;15.5548W,168286/1929,168286/1929,49625/8401,898,1/60,47937/9775
355,IMG_3476.png,BANANA_COUNT,BANANA,COLOR-NA,2_TWO,2019-07-19 17:25:39,332,37;53.7963N,122;15.5507W,811448/2809,811448/2809,106202/10085,672,1/1479,42646/4337
356,IMG_3459.png,BANANA_COUNT,BANANA,COLOR-NA,2_TWO,2019-07-19 17:23:33,334,37;53.7967N,122;15.5608W,74578/1331,74578/1331,255412/25073,832,1/1166,175259/18539
357,IMG_3510.png,BANANA_COUNT,BANANA,COLOR-NA,2_TWO,2019-07-19 17:31:57,333,37;53.7948N,122;15.5566W,191791/5006,191791/5006,194444/28147,081,1/120,69497/12051
358,IMG_3440.png,BANANA_COUNT,BANANA,COLOR-NA,5_FIVE,2019-07-19 17:20:08,332,37;53.796N,122;15.5566W,741886/2153,741886/2153,194444/28147,335,1/120,121321/19851
359,IMG_3357.png,BANANA_COUNT,BANANA,COLOR-NA,5_FIVE,2019-07-19 17:08:50,332,37;53.7967N,122;15.5557W,327886/3813,327886/3813,194444/28147,257,1/120,175474/30723
360,IMG_3402.png,BANANA_COUNT,BANANA,COLOR-NA,5_FIVE,2019-07-19 17:14:48,336,37;53.7957N,122;15.553W,814385/3096,814385/3096,172899/16286,486,1/1570,150938/15183
361,IMG_3509.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:31:43,336,37;53.8N,122;15.5557W,811572/7429,894925/8192,49625/8401,462,1/60,22556/4289
362,IMG_3535.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:41:26,342,37;53.7973N,122;15.5452W,161757/3919,161757/3919,84572/17235,465,1/30,57108/11921
363,IMG_3482.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:26:29,333,37;53.795N,122;15.5557W,1329803/4861,1329803/4861,49625/8401,246,1/60,404161/83228
364,IMG_3520.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:38:33,335,37;53.797N,122;15.547W,934229/2744,1047603/3077,260036/48857,054,1/40,87028/17483
365,IMG_3534.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:41:22,341,37;53.7973N,122;15.5452W,148466/8719,148466/8719,84572/17235,233,1/30,73940/16151
366,IMG_3508.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:31:35,334,37;53.798N,122;15.5525W,532340/3917,556667/4096,260036/48857,536,1/40,36312/7975
367,IMG_3536.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:41:30,344,37;53.7973N,122;15.5452W,379138/16291,327449/14070,84572/17235,894,1/30,59887/13156
368,IMG_3456.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:22:44,334,37;53.7975N,122;15.5562W,388487/1515,655684/2557,49625/8401,224,1/60,62217/13406
369,IMG_3527.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:40:40,339,37;53.7952N,122;15.5411W,561361/1592,561361/1592,84572/17235,842,1/30,17783/3969
370,IMG_3533.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:41:17,342,37;53.7973N,122;15.5452W,169942/28383,196197/32768,84572/17235,316,1/30,371851/81446
371,IMG_3447.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:21:05,336,37;53.7948N,122;15.5516W,197939/1126,197939/1126,194444/28147,438,1/120,46443/7777
372,IMG_3532.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:41:13,340,37;53.7973N,122;15.5452W,55765/3172,55765/3172,84572/17235,970,1/30,83587/18611
373,IMG_3530.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:40:54,338,37;53.7973N,122;15.5457W,99550/2969,99550/2969,84572/17235,397,1/30,226669/50877
374,IMG_3478.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:25:51,333,37;53.7938N,122;15.5502W,448600/2469,448600/2469,94375/9489,705,1/986,87405/9308
375,IMG_3445.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:20:47,335,37;53.7942N,122;15.5544W,308354/1547,308354/1547,260036/48857,410,1/40,43239/9379
376,IMG_3519.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:38:24,333,37;53.7993N,122;15.5484W,420923/1690,420923/1690,260036/48857,094,1/40,76028/14727
377,IMG_3542.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:42:03,335,37;53.7973N,122;15.5475W,734835/2134,734835/2134,84572/17235,748,1/30,55667/12714
378,IMG_3581.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:47:52,337,37;53.8N,122;15.5466W,406966/1287,406966/1287,84572/17235,242,1/30,71917/16089
379,IMG_3344.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:07:01,329,37;53.798N,122;15.5576W,258379/3353,258379/3353,194444/28147,122,1/120,132811/23843
380,IMG_3608.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:52:27,334,37;53.7973N,122;15.547W,809843/5425,777300/5207,84572/17235,678,1/30,115646/28387
381,IMG_3620.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:53:32,336,37;53.7945N,122;15.5443W,283738/2371,283738/2371,84572/17235,603,1/30,77157/16729
382,IMG_3621.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:53:36,336,37;53.7945N,122;15.5447W,946534/7883,946534/7883,84572/17235,027,1/30,33157/7683
383,IMG_3609.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:52:32,336,37;53.7963N,122;15.5489W,431107/3015,465138/3253,84572/17235,011,1/30,75227/16657
384,IMG_3437.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:19:47,331,37;53.7923N,122;15.5516W,7362440/26143,7328927/26024,17434/1947,165,1/496,77766/9515
385,IMG_3580.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:47:45,337,37;53.8N,122;15.5466W,865149/2528,890816/2603,84572/17235,767,1/30,99919/22979
386,IMG_3543.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:42:08,335,37;53.7963N,122;15.5461W,303579/937,303579/937,84572/17235,573,1/30,28139/6493
387,IMG_3541.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:41:57,335,37;53.7968N,122;15.5452W,401019/1142,401019/1142,84572/17235,480,1/30,35871/7976
388,IMG_3353.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:08:11,330,37;53.7962N,122;15.5553W,267569/1382,267569/1382,49625/8401,785,1/60,53425/10256
389,IMG_3421.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:18:49,334,37;53.7925N,122;15.553W,1284704/8079,1302673/8192,194444/28147,315,1/120,49544/8011
390,IMG_3622.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:53:43,336,37;53.7955N,122;15.5452W,622887/4501,622887/4501,84572/17235,233,1/30,22590/5083
391,IMG_3420.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:18:49,334,37;53.7925N,122;15.553W,1284704/8079,1302673/8192,194444/28147,902,1/120,19406/3135
392,IMG_3597.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:49:59,337,37;53.7963N,122;15.547W,567571/7727,512922/6983,84572/17235,395,1/30,13413/2857
393,IMG_3540.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:41:52,337,37;53.7967N,122;15.5443W,570587/1641,570587/1641,84572/17235,780,1/30,52414/11619
394,IMG_3568.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:46:29,338,37;53.8015N,122;15.5461W,235667/4338,271142/4991,84572/17235,960,1/30,12706/2669
395,IMG_3587.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:48:27,334,37;53.7992N,122;15.5489W,119888/2925,119888/2925,260036/48857,959,1/40,25479/5174
396,IMG_3419.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:18:41,334,37;53.798N,122;15.5594W,285949/1434,285949/1434,194444/28147,362,1/120,42619/6659
397,IMG_3586.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:48:23,335,37;53.7987N,122;15.5479W,331866/3367,331866/3367,49625/8401,483,1/60,73498/14439
398,IMG_3584.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:48:08,337,37;53.7967N,122;15.5461W,487183/8141,490235/8192,260036/48857,551,1/40,78429/15499
399,IMG_3427.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:19:17,334,37;53.7948N,122;15.5576W,234460/909,234460/909,15384/1619,690,1/725,36147/4067
400,IMG_3618.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:53:21,335,37;53.7963N,122;15.5466W,325811/2461,325811/2461,84572/17235,848,1/30,37179/7916
401,IMG_3354.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:08:16,331,37;53.7937N,122;15.5553W,161523/895,161523/895,49625/8401,354,1/60,91666/17619
402,IMG_3432.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:19:35,332,37;53.792N,122;15.5498W,426329/1969,426329/1969,79756/7879,079,1/1115,67764/7139
403,IMG_3426.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:19:11,335,37;53.7932N,122;15.5511W,325850/1511,325850/1511,194444/28147,002,1/120,88167/14269
404,IMG_3615.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:53:05,334,37;53.798N,122;15.5466W,463024/4145,463024/4145,84572/17235,731,1/30,31555/6657
405,IMG_3614.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:52:58,334,37;53.796N,122;15.5457W,320196/2465,320196/2465,84572/17235,664,1/30,149891/33354
406,IMG_3616.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:53:10,333,37;53.798N,122;15.5493W,243248/1869,243248/1869,84572/17235,490,1/30,37989/8291
407,IMG_3602.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:51:55,331,37;53.7962N,122;15.5525W,218368/1505,218368/1505,84572/17235,586,1/30,17245/3678
408,IMG_3603.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:52:00,333,37;53.798N,122;15.5498W,657521/4176,768210/4879,84572/17235,794,1/30,32797/6812
409,IMG_3617.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:53:16,334,37;53.797N,122;15.5484W,120781/1024,120781/1024,84572/17235,908,1/30,64817/14207
410,IMG_3613.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:52:53,334,37;53.795N,122;15.5457W,293235/2048,293235/2048,84572/17235,142,1/30,30091/6601
411,IMG_3607.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:52:22,335,37;53.7978N,122;15.5479W,266320/1679,266320/1679,84572/17235,656,1/30,80052/18875
412,IMG_3606.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:52:17,334,37;53.7968N,122;15.5484W,183114/1333,183114/1333,84572/17235,317,1/30,29236/6879
413,IMG_3612.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:52:46,335,37;53.7968N,122;15.547W,251771/1732,251771/1732,84572/17235,223,1/30,121283/26846
414,IMG_3604.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:52:05,333,37;53.798N,122;15.5484W,409015/4302,361192/3799,84572/17235,238,1/30,62724/14923
415,IMG_3610.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:52:36,335,37;53.7963N,122;15.5479W,218131/1586,218131/1586,84572/17235,152,1/30,102938/22523
416,IMG_3611.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:52:42,335,37;53.7975N,122;15.5479W,260860/1981,260860/1981,84572/17235,813,1/30,82972/18595
417,IMG_3605.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:52:11,333,37;53.797N,122;15.5475W,2830260/16129,2830260/16129,84572/17235,616,1/30,4877/1145
418,IMG_3598.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:50:05,336,37;53.7963N,122;15.547W,91036/2813,91036/2813,84572/17235,089,1/30,53719/11656
419,IMG_3528.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:40:44,338,37;53.7948N,122;15.5424W,520813/1563,520813/1563,84572/17235,795,1/30,42352/9665
420,IMG_3474.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:25:06,333,37;53.796N,122;15.5502W,317644/2793,317644/2793,33321/3278,888,1/1148,292511/30627
421,IMG_3501.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:29:55,333,37;53.792N,122;15.5502W,6093/32,6093/32,260036/48857,634,1/40,66283/14862
422,IMG_3515.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:38:07,331,37;53.806N,122;15.5319W,171369/512,171369/512,84572/17235,649,1/30,412783/87327
423,IMG_3529.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:40:49,339,37;53.796N,122;15.5443W,159276/7835,159276/7835,84572/17235,714,1/30,86953/19427
424,IMG_3503.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:30:13,334,37;53.7918N,122;15.5521W,354485/1257,354485/1257,194444/28147,058,1/120,36235/6042
425,IMG_3517.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:38:16,334,37;53.7993N,122;15.5434W,318297/1024,318297/1024,84572/17235,888,1/30,54244/12061
426,IMG_3516.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:38:10,305,37;53.8018N,122;15.5356W,1679989/5713,1817317/6180,84572/17235,577,1/30,46957/9766
427,IMG_3502.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:30:10,333,37;53.7918N,122;15.5521W,372071/1271,372071/1271,194444/28147,174,1/120,53467/9190
428,IMG_3498.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:29:16,337,37;53.7918N,122;15.547W,821187/4096,821187/4096,260036/48857,902,1/40,62440/12989
429,IMG_3513.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:32:11,334,37;53.7933N,122;15.5571W,102355/5321,102355/5321,194444/28147,635,1/120,11502/1769
430,IMG_3511.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:32:02,333,37;53.7937N,122;15.5594W,262846/2981,341497/3873,194444/28147,715,1/120,131253/20273
431,IMG_3465.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:24:18,334,37;53.795N,122;15.5525W,248227/1081,248227/1081,142937/16045,862,1/481,88159/10791
432,IMG_3464.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:24:13,335,37;53.797N,122;15.5534W,1447788/8155,1421513/8007,260036/48857,272,1/40,65032/14277
433,IMG_3504.png,BANANA_COUNT,BANANA,COLOR-NA,1_ONE,2019-07-19 17:30:22,334,37;53.7918N,122;15.5521W,664105/2162,612193/1993,194444/28147,479,1/120,148616/26227
434,IMG_3596.png,BANANA_COUNT,BANANA,COLOR-NA,3_THREE,2019-07-19 17:49:52,336,37;53.7963N,122;15.547W,265829/3390,265829/3390,49625/8401,449,1/60,323274/60827
435,IMG_3390.png,BANANA_COUNT,BANANA,COLOR-NA,3_THREE,2019-07-19 17:12:45,336,37;53.792N,122;15.5539W,268247/2895,268247/2895,194444/28147,725,1/120,100821/16826
436,IMG_3342.png,BANANA_COUNT,BANANA,COLOR-NA,3_THREE,2019-07-19 17:06:37,329,37;53.7955N,122;15.5617W,2176976/16203,2176976/16203,194444/28147,529,1/120,31372/5317
437,IMG_3343.png,BANANA_COUNT,BANANA,COLOR-NA,3_THREE,2019-07-19 17:06:52,329,37;53.7992N,122;15.5589W,330355/4283,408258/5293,194444/28147,730,1/120,141045/23114
438,IMG_3403.png,BANANA_COUNT,BANANA,COLOR-NA,3_THREE,2019-07-19 17:15:02,335,37;53.798N,122;15.5589W,315998/2181,315998/2181,20973/3017,471,1/124,49697/7835
